Name,"Pub Dates",Added
acorde,"2022-04-05, NA",2021-05-14
ACTINN,"2019-07-29, NA",2019-02-01
ACTION,"2018-04-17, NA",2018-04-23
ACTIONet,"2020-10-26, NA",2019-12-10
ACTIVA,"2022-02-18, NA",2021-02-05
activeSVC,"2022-06, NA",2022-02-18
ADC,2021-11-09,2021-11-20
ADClust,"2022-05-06, NA",2022-01-06
ADImpute,"NA, 2022-02-17",2020-10-30
adobo,2020-04-23,2020-05-05
adverSCarial,,2023-11-03
AE-TPGG,2022-10-26,2022-11-04
aggregateBioVar,2021-05-10,2020-10-30
airpart,,2021-05-21
aLDG,NA,2022-03-18
alevin-fry,"2022-03, NA",2021-05-21
alevinQC,,2019-05-31
ALRA,"2022-01-11, NA",2018-08-31
AltAnalyze,"2016-08-31, 2019-09-16, NA",2017-07-16
AlzScPred,NA,2023-07-14
AmbientContaminationMetrics,"2023-07, NA",2022-10-28
anchor,2017-07,2016-09-08
ANS,NA,2023-10-20
anticor_features,NA,2022-12-09
APL,"2022-03, NA",2022-03-18
ASAP,"2017-05-24, 2020-05-25, NA",2018-11-12
Asc-Seurat,"NA, 2021-11-18",2021-03-26
ascend,"2019-08-24, NA",2017-11-20
ASTK,NA,2023-09-01
ASURAT,"2022-08-04, NA",2021-06-11
ATAXIC,2022-08-31,2022-09-09
AUCell,"2017-10-09, NA",2017-06-26
Augur,"2020-07-20, 2021-06-25, NA",2020-01-02
AutoClass,"2022-04-07, NA",2020-12-12
AutoImpute,2018-11-05,2018-11-09
AutomaticCellTypeIdentification,2021-10,2021-10-29
AWGAN,"2022-06-30, NA",2021-11-20
BABEL,"2021-04-07, NA",2020-11-15
BackSPIN,2015-02-19,2016-09-08
badger,,2017-06-05
BALDR,2018-03-20,2018-04-04
BAMMSC,"2019-04-09, NA",2018-11-12
BarCounter,2022-03-27,2022-04-01
baredSC,"NA, 2022-01-12",2021-05-28
BarMixer,2022-03-27,2022-04-01
BARtab,NA,2023-11-24
bartools,NA,2023-11-24
BASIC,2016-10-02,2016-10-10
BASiCS,"2018-09, NA, NA, 2016-04-15, 2022-01-18, 2015-06-24",2016-09-08
BASiCStan,,2022-11-04
BasisVAE,NA,2020-03-23
BatchBench,"2021-02-01, NA",2020-05-29
batchelor,"2018-04-02, NA",2019-06-28
BATMAN,"2020-06, NA",2020-02-01
BayesEATS,2021-04-12,2021-06-11
BayesPrism,"2022-04, NA",2020-01-14
bayNorm,"2019-10-04, NA",2018-08-24
bbknn,"2019-08-10, NA",2018-08-24
BC_tSNE,2020-03-16,2020-03-25
bcbio,,2019-11-06
bcbioSingleCell,,2019-11-06
BCseq,2018-04-30,2018-05-11
BDA,"2021-10-04, NA",2021-05-07
BEANIE,NA,2021-10-29
BEARscc,"2018-03-22, NA",2017-04-27
BEELINE,"2020-01-06, NA",2019-05-23
BEENE,2023-08-10,2023-08-18
BEER,2019-09-24,2019-09-30
BENISSE,2022-06-02,2022-06-10
BERMUDA,"NA, 2019-08-12",2020-03-03
BESCA,"2021-10-04, NA",2020-08-20
Beyondcell,"NA, 2021-12",2021-04-12
Bfimpute,"2021-12, NA, 2021",2021-02-12
bigSCale,"NA, 2018-05-03",2017-10-29
bigSCale2,"NA, NA, 2018-05-03, 2019-06-04",2019-07-11
BigSur,NA,2023-11-10
bindSC,"NA, 2022-05-09",2020-09-10
BingleSeq,"NA, 2020-12-22",2020-06-26
biolord,"2024-01-15, NA",2023-03-10
Biomodelling,"NA, 2022-06-17",2022-08-12
BioTIP,"2022-05-30, NA",2021-07-02
BIRD,"2017-10-19, 2019-08-20, NA, NA",2019-08-26
BISCUIT,2017-01-26,2018-11-12
Bisque,"2020-04-24, NA",2019-06-20
BITFAM,2021-06-30,2021-07-09
BLGGM,,2022-03-18
bollito,2021-11-12,2021-11-20
bonvoyage,2017-07,2016-09-08
BPSC,2016-04-19,2016-09-08
BraCeR,"2018-07-31, NA",2017-09-09
BranchedGP,"NA, 2018-05-29",2017-07-20
BRAPeS,"NA, 2019-08-26",2018-08-24
BREM-SC,"2020-05-07, NA",2020-02-01
BRIE,"NA, NA, 2017-06-27, 2021-08-27",2017-01-10
BSDE,"2022-03-25, NA",2022-04-01
bseqsc,2016-10,2018-06-27
BTR,2016-09-06,2016-09-12
BUSseq,"2020-07-01, NA",2019-02-01
bustools,"2021-04-01, 2019-05-09, NA, NA, NA",2018-12-01
BZINB,"NA, 2023-05-11",2020-03-18
CAbiNet,NA,2023-01-04
CACTUS,"NA, 2021-03-24",2020-06-26
CAISC,2022-03-21,2022-05-01
CALISTA,"NA, NA, 2023-04-20, 2020-02-04",2018-03-22
CAMLU,"2022-09-09, NA",2022-09-16
CancerInSilico,"NA, 2019-04-19",2018-06-19
Canek,"2022-01-13, NA",2021-05-07
CanSig,NA,2023-01-20
CAPITAL,"2022-10-14, NA",2019-12-05
Capybara,"2022-04, NA",2020-03-03
CARDAMOM,"NA, 2023-03-27",2022-06-24
CarDEC,"NA, 2021-05-25",2020-10-05
cardelino,"2020-03-16, NA",2018-07-18
CaSee,"2022-10-03, NA",2022-02-18
CASi,NA,2023-08-27
CaSpER,2020-01-03,2020-01-13
CaSTLe,2018-10-10,2018-10-29
CausalDAG,"2021-03-11, NA",2020-05-22
cb_sniffer,"2019-08-14, NA",2018-10-29
ccdf,NA,2021-05-28
ccfindR,2019-07-02,2018-05-13
ccImpute,2022-07-22,2022-08-19
ccNet,2022-02-21,2022-03-04
CCNMF,NA,2020-02-17
CCPE,"2021-12-21, NA",2021-06-18
CCPlotR,2023-09-20,2023-10-20
ccRemover,"2016-09-27, NA",2018-04-23
CCSF,2023-09,2023-09-15
CCSN,"2021-03, NA",2020-02-05
CDI,"NA, 2022-12-27",2022-01-06
CDR-g,NA,2023-03-17
CEFCON,2023-12-20,2024-01-05
celaref,,2018-06-08
celda,,2019-01-18
CeLEry,2023-07-08,2023-07-14
Cell-BLAST,"2020-07-10, NA",2019-04-16
cell2cell,"2022-06-27, NA, NA, 2022-11-17",2021-08-07
cell2fate,NA,2023-08-11
cell2location,"2022-01-13, NA",2020-11-22
cell2sentence,NA,2023-10-20
cell2sentence-ft,NA,2023-10-20
cellAlign,2018-03-12,2018-03-14
CellANOVA,NA,2023-05-26
Cellar,"2022-04-14, NA",2021-03-26
CellaRepertorium,,2020-11-29
cellassign,"2019-09-09, NA",2019-01-11
cellatlas,NA,2023-10-20
CellBench,"2019-05-27, 2019-11-28, NA",2019-05-31
CellBender,"2023-08-07, NA",2019-10-09
CellBIC,2018-08-08,2018-08-17
CellBridge,2023-12-19,2024-01-05
cellBrowser,,2018-10-02
CellCall,2021-07-31,2021-08-08
CellChat,"2021-02-17, NA, NA",2020-07-31
CellContrast,NA,2023-11-03
cellDancer,2023-04-03,2023-03-31
CellDrift,"2022-08-23, NA",2022-05-01
cellenium,2023-06-01,2023-07-01
