dataset,n_cells,n_genes,compute_time_core,n_cores_per_node,n_nodes,max_memory_GB,start_time_preprocess,end_time_metadata,jobID
simbin 6 gens,64,1497,63.816919,20,1,0.221776,"November 29, 17:22:17","November 29, 17:23:37",18648792
simbin 6 gens,64,1497,112.022790,10,1,0.222604,"December 2, 12:57:32","December 2, 13:00:56",18845926
simbin 7 gens,128,1740,94.764128,20,1,0.234208,"November 30, 10:36:28","November 30, 10:38:17",18690711
simbin 8 gens,256,1898,153.377220,20,1,0.270876,"November 29, 17:22:17","November 29, 17:25:09",18648795
simbin 8 gens,256,1898,201.279239,10,1,0.278264,"December 2, 12:57:32","December 2, 13:02:33",18845929
simbin 9 gens,512,2149,247.851984,20,1,0.364552,"November 30, 10:36:50","November 30, 10:41:20",18690714
simbin 10 gens,1024,2351,649.462134,20,1,0.564668,"November 29, 17:22:17","November 29, 17:33:35",18648798
simbin 10 gens,1024,2351,849.886460,10,1,0.570212,"December 2, 12:57:32","December 2, 13:13:19",18845932
simbin 11 gens,2048,2458,1759.788947,20,1,0.946964,"November 30, 10:36:49","November 30, 11:07:06",18690717
simbin 12 gens,4096,2541,5642.092687,20,1,1.722200,"November 29, 17:22:17","November 29, 18:58:25",18648801
simbin 12 gens,4096,2541,7802.033189,10,1,1.705520,"December 2, 12:57:23","December 2, 15:11:27",18845935
simbin 13 gens,8192,2634,15629.833235,20,1,3.296204,"November 30, 11:45:21","November 30, 16:10:17",18691832
simbin 14 gens,16384,2719,52441.019854,20,1,6.563104,"November 29, 17:22:19","November 30, 08:05:20",18648804
